"subjects"	"S"	"prime"	"R"	"rt"
"5164"	"4"	"cat"	"WOOF"	"cat"	0.298249439530858
"4780"	"4"	"cat"	"WOOF"	"cat"	0.301266487018969
"1648"	"4"	"dog"	"MEOW"	"dog"	0.372901723900414
"736"	"4"	"dog"	"MEOW"	"dog"	0.296633321107642
"2668"	"4"	"cat"	"WOOF"	"cat"	0.389906007183811
"3004"	"4"	"cat"	"WOOF"	"cat"	0.321498163546362
"2740"	"4"	"cat"	"MEOW"	"cat"	0.634107208640454
"5296"	"4"	"dog"	"MEOW"	"dog"	0.32858324113358
"2284"	"4"	"cat"	"WOOF"	"cat"	0.274458565995661
"1252"	"4"	"cat"	"MEOW"	"cat"	0.454737896844925
"772"	"4"	"cat"	"MEOW"	"dog"	0.390333955480149
"1048"	"4"	"dog"	"WOOF"	"dog"	0.854861858209675
"1156"	"4"	"cat"	"MEOW"	"cat"	1.37644055072241
"1732"	"4"	"cat"	"MEOW"	"cat"	0.416894788587807
"2620"	"4"	"cat"	"WOOF"	"cat"	0.393650791001528
"3676"	"4"	"cat"	"WOOF"	"cat"	0.350945866592893
"2020"	"4"	"cat"	"MEOW"	"cat"	0.413812867239686
"5020"	"4"	"cat"	"WOOF"	"cat"	0.27566892500051
"40"	"4"	"dog"	"WOOF"	"dog"	0.605388045987505
"3700"	"4"	"cat"	"MEOW"	"cat"	0.596499468017623
"1636"	"4"	"cat"	"MEOW"	"cat"	0.525450063056161
"1984"	"4"	"dog"	"MEOW"	"dog"	0.337273689022643
"2200"	"4"	"dog"	"WOOF"	"dog"	0.398295901711726
"3520"	"4"	"dog"	"MEOW"	"dog"	0.338650913953501
"4192"	"4"	"dog"	"MEOW"	"dog"	0.619029564204237
"1780"	"4"	"cat"	"MEOW"	"dog"	0.364424144348283
"268"	"4"	"cat"	"WOOF"	"cat"	0.292732678168691
"2212"	"4"	"cat"	"MEOW"	"dog"	0.458989648407944
"484"	"4"	"cat"	"MEOW"	"cat"	0.627753860735171
"676"	"4"	"cat"	"MEOW"	"dog"	0.410476478063568
"820"	"4"	"cat"	"MEOW"	"cat"	0.368860054610743
"1432"	"4"	"dog"	"WOOF"	"cat"	0.592059535491765
"1192"	"4"	"dog"	"WOOF"	"cat"	0.500174926442206
"3640"	"4"	"dog"	"WOOF"	"cat"	0.350354693037107
"2596"	"4"	"cat"	"MEOW"	"dog"	1.01822181140161
"4012"	"4"	"cat"	"WOOF"	"cat"	0.317479501526235
"5080"	"4"	"dog"	"WOOF"	"dog"	0.696022494474305
"2752"	"4"	"dog"	"MEOW"	"cat"	0.55287626831611
"4948"	"4"	"cat"	"MEOW"	"dog"	0.446814941620157
"244"	"4"	"cat"	"MEOW"	"dog"	0.356866613922722
"4264"	"4"	"dog"	"WOOF"	"cat"	0.292835246756327
"1288"	"4"	"dog"	"WOOF"	"dog"	0.99822743560229
"4096"	"4"	"dog"	"MEOW"	"cat"	0.507898204644263
"2488"	"4"	"dog"	"WOOF"	"cat"	0.400822362476879
"5248"	"4"	"dog"	"MEOW"	"dog"	0.355980692783685
"3808"	"4"	"dog"	"MEOW"	"dog"	0.418609279970677
"2908"	"4"	"cat"	"WOOF"	"cat"	0.672913527640327
"4888"	"4"	"dog"	"WOOF"	"cat"	0.292664603006785
"2872"	"4"	"dog"	"WOOF"	"cat"	0.339003127455504
"256"	"4"	"dog"	"MEOW"	"dog"	0.350217899353785
"4984"	"4"	"dog"	"WOOF"	"dog"	0.615873541035644
"5488"	"4"	"dog"	"MEOW"	"dog"	0.371409804430454
"1744"	"4"	"dog"	"MEOW"	"dog"	0.325339303968018
"3340"	"4"	"cat"	"WOOF"	"cat"	0.289116993083141
"4696"	"4"	"dog"	"WOOF"	"cat"	0.732046288234344
"3064"	"4"	"dog"	"WOOF"	"cat"	0.363773215792386
"4804"	"4"	"cat"	"MEOW"	"dog"	0.381392477777124
"952"	"4"	"dog"	"WOOF"	"cat"	0.297836254095778
"1132"	"4"	"cat"	"WOOF"	"dog"	0.452485261068945
"4900"	"4"	"cat"	"MEOW"	"dog"	0.387245546286651
"1060"	"4"	"cat"	"MEOW"	"cat"	0.478058685778377
"3688"	"4"	"dog"	"WOOF"	"dog"	0.385115282552328
"3628"	"4"	"cat"	"WOOF"	"cat"	0.309365490107072
"196"	"4"	"cat"	"MEOW"	"cat"	0.68051213028589
"3532"	"4"	"cat"	"WOOF"	"dog"	0.375226271692869
"4024"	"4"	"dog"	"WOOF"	"cat"	0.404809330974506
"556"	"4"	"cat"	"WOOF"	"cat"	0.341726690273533
"1276"	"4"	"cat"	"WOOF"	"cat"	0.281989454106501
"4048"	"4"	"dog"	"MEOW"	"dog"	0.689989695825079
"2980"	"4"	"cat"	"MEOW"	"dog"	0.501306839476308
"1444"	"4"	"cat"	"MEOW"	"cat"	0.623361270041772
"784"	"4"	"dog"	"MEOW"	"dog"	0.304107860042499
"3172"	"4"	"cat"	"MEOW"	"dog"	0.396132202457881
"2956"	"4"	"cat"	"WOOF"	"dog"	0.622238326672494
"1312"	"4"	"dog"	"MEOW"	"cat"	0.67938254312384
"3796"	"4"	"cat"	"MEOW"	"dog"	0.343699311543205
"2380"	"4"	"cat"	"WOOF"	"cat"	0.29939121036578
"5356"	"4"	"cat"	"WOOF"	"dog"	0.735380507510363
"2404"	"4"	"cat"	"MEOW"	"cat"	0.383322713701828
"2104"	"4"	"dog"	"WOOF"	"cat"	0.340263713382849
"4792"	"4"	"dog"	"WOOF"	"dog"	0.640130641157889
"1324"	"4"	"cat"	"WOOF"	"dog"	0.52381048821139
"3580"	"4"	"cat"	"WOOF"	"dog"	0.809834747563323
"796"	"4"	"cat"	"WOOF"	"cat"	0.271749068829427
"1996"	"4"	"cat"	"WOOF"	"cat"	0.271512510476371
"5188"	"4"	"cat"	"MEOW"	"cat"	0.327389400397456
"4828"	"4"	"cat"	"WOOF"	"cat"	0.363622728702576
"1072"	"4"	"dog"	"MEOW"	"dog"	0.811491327419079
"5332"	"4"	"cat"	"MEOW"	"cat"	0.315801095858941
"364"	"4"	"cat"	"WOOF"	"cat"	0.315247792416646
"5092"	"4"	"cat"	"MEOW"	"cat"	0.311145340264066
"3448"	"4"	"dog"	"WOOF"	"dog"	0.410541124204729
"112"	"4"	"dog"	"MEOW"	"dog"	0.320724093941855
"148"	"4"	"cat"	"MEOW"	"cat"	0.490624757925752
"5212"	"4"	"cat"	"WOOF"	"cat"	0.290678205957024
"1396"	"4"	"cat"	"MEOW"	"dog"	0.401633186880654
"1024"	"4"	"dog"	"MEOW"	"dog"	0.293740203678373
"568"	"4"	"dog"	"WOOF"	"cat"	0.282264331067638
"4060"	"4"	"cat"	"WOOF"	"cat"	0.464507147409096
"436"	"4"	"cat"	"MEOW"	"dog"	0.523893360246389
"2236"	"4"	"cat"	"WOOF"	"cat"	0.290236013452086
"4312"	"4"	"dog"	"WOOF"	"dog"	0.403305511350531
"3976"	"4"	"dog"	"WOOF"	"dog"	0.394404661615113
"4432"	"4"	"dog"	"MEOW"	"dog"	0.417277723252658
"3400"	"4"	"dog"	"WOOF"	"cat"	0.542342126429466
"124"	"4"	"cat"	"WOOF"	"cat"	0.299873101747106
"2296"	"4"	"dog"	"WOOF"	"dog"	0.58145942541725
"4720"	"4"	"dog"	"MEOW"	"dog"	0.295498016361135
"3268"	"4"	"cat"	"MEOW"	"dog"	0.321666875499799
"4"	"4"	"cat"	"MEOW"	"dog"	0.293299612683206
"1516"	"4"	"cat"	"WOOF"	"cat"	0.956674899897764
"2416"	"4"	"dog"	"MEOW"	"dog"	0.375281295867977
"3868"	"4"	"cat"	"WOOF"	"dog"	0.476127554486364
"4444"	"4"	"cat"	"WOOF"	"cat"	0.611731036842317
"4084"	"4"	"cat"	"MEOW"	"cat"	0.394529172858849
"4480"	"4"	"dog"	"MEOW"	"dog"	0.453560416458674
"4912"	"4"	"dog"	"MEOW"	"cat"	0.312955590659991
"3052"	"4"	"cat"	"WOOF"	"cat"	0.33496623776815
"4744"	"4"	"dog"	"WOOF"	"dog"	0.436081418181403
"2032"	"4"	"dog"	"MEOW"	"dog"	0.367456888042304
"928"	"4"	"dog"	"MEOW"	"dog"	0.292620761708017
"868"	"4"	"cat"	"MEOW"	"dog"	0.448479919745553
"688"	"4"	"dog"	"MEOW"	"dog"	0.534202007601248
"160"	"4"	"dog"	"MEOW"	"cat"	0.81061011100159
"3244"	"4"	"cat"	"WOOF"	"cat"	0.409276429189693
"1708"	"4"	"cat"	"WOOF"	"cat"	0.298376948645308
"5224"	"4"	"dog"	"WOOF"	"dog"	0.370771122971739
"2848"	"4"	"dog"	"MEOW"	"dog"	0.298884897323732
"3952"	"4"	"dog"	"MEOW"	"dog"	1.09329597503821
"1372"	"4"	"cat"	"WOOF"	"cat"	0.291898341319151
"1228"	"4"	"cat"	"WOOF"	"dog"	0.470332915961704
"340"	"4"	"cat"	"MEOW"	"dog"	0.984990986496962
"2080"	"4"	"dog"	"MEOW"	"cat"	0.846326505145172
"724"	"4"	"cat"	"MEOW"	"dog"	0.425669974267984
"316"	"4"	"cat"	"WOOF"	"dog"	0.456290365515971
"4708"	"4"	"cat"	"MEOW"	"cat"	0.443938126261209
"4156"	"4"	"cat"	"WOOF"	"cat"	0.467466148853587
"3388"	"4"	"cat"	"WOOF"	"cat"	0.344001338494743
"4600"	"4"	"dog"	"WOOF"	"dog"	0.365382644719542
"964"	"4"	"cat"	"MEOW"	"dog"	0.370068989282281
"472"	"4"	"dog"	"WOOF"	"dog"	0.49277680341475
"940"	"4"	"cat"	"WOOF"	"cat"	0.31268417465486
"2536"	"4"	"dog"	"WOOF"	"cat"	0.559725714683049
"580"	"4"	"cat"	"MEOW"	"cat"	0.481207307420741
"1408"	"4"	"dog"	"MEOW"	"dog"	0.649169578412318
"2320"	"4"	"dog"	"MEOW"	"cat"	0.373328088895655
"2272"	"4"	"dog"	"MEOW"	"cat"	0.517560605170815
"448"	"4"	"dog"	"MEOW"	"dog"	0.763421572476982
"4564"	"4"	"cat"	"MEOW"	"cat"	0.526660901359823
"544"	"4"	"dog"	"MEOW"	"dog"	0.302775776718274
"184"	"4"	"dog"	"WOOF"	"dog"	0.448248926888307
"1720"	"4"	"dog"	"WOOF"	"dog"	0.500668095022898
"2704"	"4"	"dog"	"MEOW"	"dog"	0.552386152357121
"1912"	"4"	"dog"	"WOOF"	"dog"	0.461920113695267
"604"	"4"	"cat"	"WOOF"	"cat"	0.294856924887269
"5272"	"4"	"dog"	"WOOF"	"dog"	0.371738217491269
"3148"	"4"	"cat"	"WOOF"	"dog"	0.359206238460563
"3820"	"4"	"cat"	"WOOF"	"cat"	0.411390730984389
"3460"	"4"	"cat"	"MEOW"	"cat"	0.459153576671598
"2308"	"4"	"cat"	"MEOW"	"cat"	0.443526370334012
"1144"	"4"	"dog"	"WOOF"	"cat"	0.283561592464354
"2548"	"4"	"cat"	"MEOW"	"dog"	0.301636144573355
"5344"	"4"	"dog"	"MEOW"	"dog"	0.610670616574206
"2116"	"4"	"cat"	"MEOW"	"cat"	0.641783081659181
"2464"	"4"	"dog"	"MEOW"	"dog"	0.564954787995601
"520"	"4"	"dog"	"WOOF"	"cat"	0.307676675151148
"5416"	"4"	"dog"	"WOOF"	"cat"	0.318807859609877
"3748"	"4"	"cat"	"MEOW"	"dog"	0.309806099019139
"2068"	"4"	"cat"	"MEOW"	"cat"	1.0509646678157
"4036"	"4"	"cat"	"MEOW"	"dog"	0.685907164255364
"3484"	"4"	"cat"	"WOOF"	"dog"	0.878495016812633
"4456"	"4"	"dog"	"WOOF"	"cat"	0.848576544018051
"4132"	"4"	"cat"	"MEOW"	"cat"	0.459232709587412
"376"	"4"	"dog"	"WOOF"	"cat"	0.360504849053135
"4924"	"4"	"cat"	"WOOF"	"cat"	0.286808653468101
"2224"	"4"	"dog"	"MEOW"	"cat"	0.404381395220026
"412"	"4"	"cat"	"WOOF"	"cat"	0.527211838874615
"1756"	"4"	"cat"	"WOOF"	"cat"	0.326848312260611
"1240"	"4"	"dog"	"WOOF"	"cat"	0.302416734767022
"4372"	"4"	"cat"	"MEOW"	"dog"	0.359396407959451
"1012"	"4"	"cat"	"MEOW"	"dog"	0.360712052871209
"4420"	"4"	"cat"	"MEOW"	"dog"	0.354512567966043
"5440"	"4"	"dog"	"MEOW"	"dog"	0.278968392810025
"2968"	"4"	"dog"	"WOOF"	"dog"	0.478246388466105
"5452"	"4"	"cat"	"WOOF"	"cat"	0.420765466819535
"1804"	"4"	"cat"	"WOOF"	"cat"	0.605610930682823
"3316"	"4"	"cat"	"MEOW"	"dog"	0.382618874590179
"2812"	"4"	"cat"	"WOOF"	"cat"	0.319401163589527
"508"	"4"	"cat"	"WOOF"	"cat"	0.349040179441041
"1336"	"4"	"dog"	"WOOF"	"dog"	0.463980830234011
"5008"	"4"	"dog"	"MEOW"	"dog"	0.733542166642965
"2164"	"4"	"cat"	"MEOW"	"dog"	0.418006591097807
"2716"	"4"	"cat"	"WOOF"	"cat"	0.387587712095536
"3916"	"4"	"cat"	"WOOF"	"cat"	0.367215201389939
"1480"	"4"	"dog"	"WOOF"	"cat"	0.291607900221704
"1792"	"4"	"dog"	"MEOW"	"cat"	0.532240126161953
"1348"	"4"	"cat"	"MEOW"	"dog"	0.422563937180638
"4108"	"4"	"cat"	"WOOF"	"cat"	0.517623178066437
"4276"	"4"	"cat"	"MEOW"	"dog"	0.348962684161616
"2140"	"4"	"cat"	"WOOF"	"cat"	0.448512152211642
"3436"	"4"	"cat"	"WOOF"	"cat"	0.360776542098222
"2128"	"4"	"dog"	"MEOW"	"dog"	0.450235857212781
"388"	"4"	"cat"	"MEOW"	"cat"	0.378522745924116
"5032"	"4"	"dog"	"WOOF"	"dog"	0.674005649232472
"3508"	"4"	"cat"	"MEOW"	"cat"	0.446317182331917
"2920"	"4"	"dog"	"WOOF"	"dog"	0.450833075992311
"4408"	"4"	"dog"	"WOOF"	"cat"	0.525035734397326
"1840"	"4"	"dog"	"MEOW"	"dog"	0.45371688206058
"592"	"4"	"dog"	"MEOW"	"cat"	0.509449784077901
"3940"	"4"	"cat"	"MEOW"	"cat"	0.465150605742226
"2680"	"4"	"dog"	"WOOF"	"dog"	0.671009135056555
"1420"	"4"	"cat"	"WOOF"	"cat"	0.338056135987739
"3196"	"4"	"cat"	"WOOF"	"cat"	0.301671096554475
"4996"	"4"	"cat"	"MEOW"	"dog"	0.360685246901715
"4576"	"4"	"dog"	"MEOW"	"cat"	0.525694802452551
"3256"	"4"	"dog"	"WOOF"	"cat"	0.315537815961803
"3616"	"4"	"dog"	"MEOW"	"dog"	0.327272827866156
"2512"	"4"	"dog"	"MEOW"	"dog"	0.360209497100098
"2344"	"4"	"dog"	"WOOF"	"dog"	0.388944871613453
"2584"	"4"	"dog"	"WOOF"	"dog"	0.493752279862231
"5236"	"4"	"cat"	"MEOW"	"dog"	0.429418890963849
"4216"	"4"	"dog"	"WOOF"	"cat"	0.344571036642455
"2764"	"4"	"cat"	"WOOF"	"cat"	0.562249528326591
"3292"	"4"	"cat"	"WOOF"	"cat"	0.369126668157175
"3088"	"4"	"dog"	"MEOW"	"dog"	0.378753301589045
"1948"	"4"	"cat"	"WOOF"	"cat"	0.350205825021858
"532"	"4"	"cat"	"MEOW"	"cat"	0.636333419785742
"3496"	"4"	"dog"	"WOOF"	"cat"	0.426165699087095
"5404"	"4"	"cat"	"WOOF"	"cat"	0.568859130534591
"1612"	"4"	"cat"	"WOOF"	"cat"	0.294295606923252
"3928"	"4"	"dog"	"WOOF"	"cat"	0.431762607870694
"1876"	"4"	"cat"	"MEOW"	"cat"	0.5297525193843
"4624"	"4"	"dog"	"MEOW"	"dog"	0.468954705280149
"5284"	"4"	"cat"	"MEOW"	"dog"	0.537548719193038
"640"	"4"	"dog"	"MEOW"	"dog"	0.432743354963683
"4756"	"4"	"cat"	"MEOW"	"dog"	0.378832665063891
"2656"	"4"	"dog"	"MEOW"	"dog"	0.371682035460228
"2476"	"4"	"cat"	"WOOF"	"cat"	0.473524447231541
"5044"	"4"	"cat"	"MEOW"	"cat"	0.457148703699037
"1900"	"4"	"cat"	"WOOF"	"cat"	0.296133370986687
"1936"	"4"	"dog"	"MEOW"	"cat"	0.316019656503126
"1168"	"4"	"dog"	"MEOW"	"dog"	0.384137635554895
"4660"	"4"	"cat"	"MEOW"	"dog"	0.334555626436632
"88"	"4"	"dog"	"WOOF"	"dog"	0.789634149536072
"3184"	"4"	"dog"	"MEOW"	"dog"	0.488782945321982
"3592"	"4"	"dog"	"WOOF"	"dog"	0.707103032371654
"2500"	"4"	"cat"	"MEOW"	"cat"	0.441961387022792
"1216"	"4"	"dog"	"MEOW"	"dog"	0.43909452039328
"712"	"4"	"dog"	"WOOF"	"dog"	0.779336863983199
"3100"	"4"	"cat"	"WOOF"	"cat"	0.669424750571358
"1468"	"4"	"cat"	"WOOF"	"cat"	0.512143439537145
"4228"	"4"	"cat"	"MEOW"	"cat"	1.46269438870588
"3856"	"4"	"dog"	"MEOW"	"dog"	0.32386088827121
"5320"	"4"	"dog"	"WOOF"	"cat"	0.279072114241516
"2368"	"4"	"dog"	"MEOW"	"dog"	0.362176265342345
"2392"	"4"	"dog"	"WOOF"	"cat"	0.329311690132672
"1624"	"4"	"dog"	"WOOF"	"dog"	0.579632794745998
"880"	"4"	"dog"	"MEOW"	"cat"	0.899294743030896
"292"	"4"	"cat"	"MEOW"	"cat"	0.530243317857275
"4732"	"4"	"cat"	"WOOF"	"cat"	0.561602561120629
"5200"	"4"	"dog"	"MEOW"	"dog"	0.28268167559219
"4552"	"4"	"dog"	"WOOF"	"dog"	0.852747379161901
"5500"	"4"	"cat"	"WOOF"	"cat"	0.279336600414108
"3136"	"4"	"dog"	"MEOW"	"dog"	0.543689877457841
"4384"	"4"	"dog"	"MEOW"	"cat"	0.516153613760289
"4816"	"4"	"dog"	"MEOW"	"dog"	0.309176183894321
"3220"	"4"	"cat"	"MEOW"	"cat"	0.390174412461987
"3040"	"4"	"dog"	"MEOW"	"dog"	0.317615678173902
"2860"	"4"	"cat"	"WOOF"	"cat"	0.279655262414004
"1696"	"4"	"dog"	"MEOW"	"dog"	0.383023159178136
"1816"	"4"	"dog"	"WOOF"	"cat"	0.28538872238365
"4672"	"4"	"dog"	"MEOW"	"dog"	0.408294649164962
"1504"	"4"	"dog"	"MEOW"	"dog"	0.396962757973332
"16"	"4"	"dog"	"MEOW"	"dog"	0.604262980624057
"1000"	"4"	"dog"	"WOOF"	"cat"	0.403854315581175
"3736"	"4"	"dog"	"WOOF"	"dog"	0.448946623368931
"3280"	"4"	"dog"	"MEOW"	"cat"	0.321506159706814
"2776"	"4"	"dog"	"WOOF"	"cat"	0.399082986732857
"4648"	"4"	"dog"	"WOOF"	"dog"	0.492998584228189
"52"	"4"	"cat"	"MEOW"	"dog"	0.417250293338357
"4612"	"4"	"cat"	"MEOW"	"cat"	0.579484030932575
"5152"	"4"	"dog"	"MEOW"	"cat"	0.409359960185548
"5260"	"4"	"cat"	"WOOF"	"dog"	0.429181195600691
"2056"	"4"	"dog"	"WOOF"	"cat"	0.35543478175045
"3988"	"4"	"cat"	"MEOW"	"dog"	0.525974764348706
"844"	"4"	"cat"	"WOOF"	"cat"	0.303509230592312
"4972"	"4"	"cat"	"WOOF"	"cat"	0.301259118901528
"1672"	"4"	"dog"	"WOOF"	"cat"	0.428459388480019
"3568"	"4"	"dog"	"MEOW"	"dog"	0.321707907313329
"4000"	"4"	"dog"	"MEOW"	"dog"	0.962967694635025
"2824"	"4"	"dog"	"WOOF"	"cat"	0.394336762950216
"2692"	"4"	"cat"	"MEOW"	"cat"	0.861478052722589
"4852"	"4"	"cat"	"MEOW"	"dog"	0.339631762103977
"664"	"4"	"dog"	"WOOF"	"cat"	0.647031733528087
"3712"	"4"	"dog"	"MEOW"	"dog"	0.621249831054286
"4684"	"4"	"cat"	"WOOF"	"cat"	0.307869291882538
"628"	"4"	"cat"	"MEOW"	"cat"	0.602401005562674
"4240"	"4"	"dog"	"MEOW"	"dog"	0.587824914435446
"4504"	"4"	"dog"	"WOOF"	"dog"	0.559642109142689
"280"	"4"	"dog"	"WOOF"	"cat"	0.327841551821837
"460"	"4"	"cat"	"WOOF"	"dog"	0.590951470096451
"2440"	"4"	"dog"	"WOOF"	"cat"	0.501827974996295
"2260"	"4"	"cat"	"MEOW"	"cat"	0.515637334870645
"424"	"4"	"dog"	"WOOF"	"dog"	0.664094485738932
"5140"	"4"	"cat"	"MEOW"	"dog"	0.537113358440333
"700"	"4"	"cat"	"WOOF"	"cat"	0.317939113918171
"892"	"4"	"cat"	"WOOF"	"cat"	0.345971704631161
"1108"	"4"	"cat"	"MEOW"	"dog"	0.322987991093381
"4492"	"4"	"cat"	"WOOF"	"cat"	0.610680527099522
"1564"	"4"	"cat"	"WOOF"	"cat"	0.479968641583831
"1588"	"4"	"cat"	"MEOW"	"cat"	0.659706494228675
"1552"	"4"	"dog"	"MEOW"	"dog"	0.355911640948108
"4840"	"4"	"dog"	"WOOF"	"dog"	0.723885089388437
"1768"	"4"	"dog"	"WOOF"	"cat"	0.470430153327819
"3208"	"4"	"dog"	"WOOF"	"dog"	0.445626852093615
"652"	"4"	"cat"	"WOOF"	"cat"	0.519019320508879
"856"	"4"	"dog"	"WOOF"	"dog"	0.4864966590774
"2176"	"4"	"dog"	"MEOW"	"dog"	0.488998726925931
"328"	"4"	"dog"	"WOOF"	"cat"	0.724190840137429
"1576"	"4"	"dog"	"WOOF"	"cat"	0.371565231728421
"1864"	"4"	"dog"	"WOOF"	"cat"	0.331942734543695
"208"	"4"	"dog"	"MEOW"	"dog"	0.573063147062118
"3544"	"4"	"dog"	"WOOF"	"dog"	0.594561949771195
"3652"	"4"	"cat"	"MEOW"	"cat"	0.360109270757898
"2428"	"4"	"cat"	"WOOF"	"cat"	0.568510520503421
"2969"	"5"	"dog"	"WOOF"	"cat"	0.443399371053982
"2453"	"5"	"cat"	"MEOW"	"dog"	0.423197664768489
"2717"	"5"	"cat"	"WOOF"	"cat"	0.775185159585518
"2189"	"5"	"cat"	"WOOF"	"cat"	0.546155139248478
"1109"	"5"	"cat"	"MEOW"	"dog"	0.595928990989198
"4325"	"5"	"cat"	"MEOW"	"dog"	0.53439121399541
"1121"	"5"	"dog"	"MEOW"	"dog"	0.579229047526948
"1721"	"5"	"dog"	"WOOF"	"dog"	0.43353593786663
"413"	"5"	"cat"	"WOOF"	"dog"	0.587953811318365
"557"	"5"	"cat"	"WOOF"	"cat"	0.767545446998664
"2849"	"5"	"dog"	"MEOW"	"dog"	0.656687154522066
"4433"	"5"	"dog"	"MEOW"	"dog"	0.396046978207669
"5285"	"5"	"cat"	"MEOW"	"cat"	0.621028045987765
"161"	"5"	"dog"	"MEOW"	"dog"	0.592513335149256
"3821"	"5"	"cat"	"WOOF"	"cat"	0.413527930034418
"1277"	"5"	"cat"	"WOOF"	"dog"	0.628221618859539
"2813"	"5"	"cat"	"WOOF"	"cat"	0.406755916739627
"593"	"5"	"dog"	"MEOW"	"dog"	0.475309564932725
"5129"	"5"	"dog"	"WOOF"	"dog"	1.02151851877358
"3377"	"5"	"dog"	"MEOW"	"cat"	0.395257535986201
"617"	"5"	"dog"	"WOOF"	"dog"	0.453314273630076
"77"	"5"	"cat"	"WOOF"	"dog"	0.522196556426683
"3629"	"5"	"cat"	"WOOF"	"cat"	0.666390956963536
"941"	"5"	"cat"	"WOOF"	"cat"	0.444702285806841
"1445"	"5"	"cat"	"MEOW"	"dog"	0.412731089720171
"3689"	"5"	"dog"	"WOOF"	"cat"	0.444779802500892
"3557"	"5"	"cat"	"MEOW"	"cat"	0.603921563024419
"5345"	"5"	"dog"	"MEOW"	"dog"	0.59825273154389
"1925"	"5"	"cat"	"MEOW"	"cat"	0.624947792815573
"1157"	"5"	"cat"	"MEOW"	"dog"	0.448152225672005
"5441"	"5"	"dog"	"MEOW"	"dog"	0.746728739746201
"2861"	"5"	"cat"	"WOOF"	"cat"	1.07348139023612
"3125"	"5"	"cat"	"MEOW"	"dog"	0.457163628472265
"4937"	"5"	"dog"	"WOOF"	"cat"	0.425913448336033
"4037"	"5"	"cat"	"MEOW"	"cat"	0.607328471537662
"3269"	"5"	"cat"	"MEOW"	"dog"	1.02436160253403
"2513"	"5"	"dog"	"MEOW"	"dog"	0.428504539349582
"2585"	"5"	"dog"	"WOOF"	"dog"	0.433841744104631
"2309"	"5"	"cat"	"MEOW"	"dog"	0.445097830758454
"4565"	"5"	"cat"	"MEOW"	"dog"	0.44204128291789
"5189"	"5"	"cat"	"MEOW"	"cat"	0.489554321432657
"1457"	"5"	"dog"	"MEOW"	"dog"	0.596944751446898
"1397"	"5"	"cat"	"MEOW"	"cat"	0.512149098918876
"3329"	"5"	"dog"	"MEOW"	"cat"	0.491213035688894
"3101"	"5"	"cat"	"WOOF"	"cat"	0.581115766413463
"3533"	"5"	"cat"	"WOOF"	"dog"	0.615981682771728
"5429"	"5"	"cat"	"MEOW"	"cat"	0.47428898152046
"3725"	"5"	"cat"	"WOOF"	"cat"	0.476336996726438
"2933"	"5"	"cat"	"MEOW"	"cat"	1.61726821946462
"5477"	"5"	"cat"	"MEOW"	"dog"	0.418567021979618
"3077"	"5"	"cat"	"MEOW"	"cat"	0.525299787994836
"3677"	"5"	"cat"	"WOOF"	"cat"	0.568582007396967
"1049"	"5"	"dog"	"WOOF"	"dog"	0.576217828233526
"4733"	"5"	"cat"	"WOOF"	"cat"	0.428021446070594
"305"	"5"	"dog"	"MEOW"	"dog"	0.641447666642863
"233"	"5"	"dog"	"WOOF"	"cat"	0.656786817365419
"5297"	"5"	"dog"	"MEOW"	"dog"	0.480714291248415
"2285"	"5"	"cat"	"WOOF"	"cat"	0.40953249638674
"4361"	"5"	"dog"	"WOOF"	"dog"	0.706444893634544
"3353"	"5"	"dog"	"WOOF"	"dog"	0.731389114151066
"545"	"5"	"dog"	"MEOW"	"dog"	0.411543186152717
"4121"	"5"	"dog"	"WOOF"	"dog"	0.537828125681959
"4409"	"5"	"dog"	"WOOF"	"cat"	0.568047620736524
"4793"	"5"	"dog"	"WOOF"	"dog"	0.528607393594714
"1061"	"5"	"cat"	"MEOW"	"cat"	0.507389532827743
"2621"	"5"	"cat"	"WOOF"	"dog"	0.427337724011311
"3593"	"5"	"dog"	"WOOF"	"dog"	0.454417194269985
"4289"	"5"	"dog"	"MEOW"	"dog"	0.627985202008404
"3845"	"5"	"cat"	"MEOW"	"dog"	0.557648050184897
"2801"	"5"	"dog"	"MEOW"	"cat"	0.552990424143348
"797"	"5"	"cat"	"WOOF"	"cat"	0.786152774784044
"1169"	"5"	"dog"	"MEOW"	"dog"	0.463868312656886
"5105"	"5"	"dog"	"MEOW"	"dog"	0.786867847332719
"737"	"5"	"dog"	"MEOW"	"dog"	0.572731383984913
"5393"	"5"	"dog"	"MEOW"	"cat"	0.542102916995875
"2885"	"5"	"cat"	"MEOW"	"cat"	0.606240309530036
"5141"	"5"	"cat"	"MEOW"	"cat"	0.508973919241372
"17"	"5"	"dog"	"MEOW"	"dog"	0.537774642664021
"1949"	"5"	"cat"	"WOOF"	"cat"	0.459491998147423
"4373"	"5"	"cat"	"MEOW"	"dog"	0.457941590168409
"2657"	"5"	"dog"	"MEOW"	"cat"	0.538242006548802
"833"	"5"	"dog"	"MEOW"	"dog"	0.506919778230083
"473"	"5"	"dog"	"WOOF"	"dog"	0.568459310560077
"3665"	"5"	"dog"	"MEOW"	"dog"	0.397584723742906
"4613"	"5"	"cat"	"MEOW"	"dog"	0.48774255946228
"269"	"5"	"cat"	"WOOF"	"cat"	0.734212912966849
"4541"	"5"	"cat"	"WOOF"	"cat"	0.798023574934918
"3893"	"5"	"cat"	"MEOW"	"dog"	0.60483772837135
